#,Section,Element,Type,Shown on,Current content / file,Guidance & constraints,Status,Action for content team
1,Global / Nav,Nav link 1,Link,Desktop,Our Purpose,One or two words,Live,Jumps to a block on this page
1,Global / Nav,Nav link 2,Link,Desktop,Experience,One or two words,Live,Jumps to a block on this page
1,Global / Nav,Nav link 3,Link,Desktop,Leaders,One or two words,Live,Jumps to a block on this page
1,Global / Nav,Download PDF,CTA,Both,Download PDF,Short label,BLOCKED — file missing,Supply assets/the-strategy-retreat-2026.pdf; the link is wired and will 404 until then
1,Global / Nav,Register button,CTA,Both,Register,Short label,BLOCKED — page missing,"Links to registration.html, which has not been built"
1,Global / Nav,Floating Register tab,CTA,Desktop,Register,Vertical tab pinned to the right edge,Live,
1,Global / Nav,Brand mark (dark backgrounds),Image,Both,assets/strategy-community-mark-white.png (250x394),"Mark only, transparent PNG, drawn 32-34px tall",Recovered from a screenshot,Supply the original export — this one has no gold needle
1,Global / Footer,Brand lockup (light backgrounds),Image,Both,assets/strategy-community-lockup.png (1170x397),"Full navy lockup, transparent PNG, drawn 44-52px tall",Recovered from a screenshot,"Supply the original export — screen resolution only, will not scale up"
2,Hero,Eyebrow,Text,Both,An exclusive invite-only retreat,"Max ~40 characters, uppercase",Live,
2,Hero,Headline,Heading,Both,The Strategy Retreat,"2-3 words. Stacks on 3 lines on mobile, 1 line on desktop",Live,
2,Hero,Date,Text,Both,15–17 October 2026,Keep the en dash,Live,
2,Hero,Location,Text,Both,"Matarma Bay, Ras Sudr",Short place name,Live,
2,Hero,Marquee word,Decorative,Both,Strategy,"Single word, repeats across the bottom edge",Live,
2,Hero,Background photograph,Image,Both,assets/photos/hero-d.png (640x426),"Full-bleed. Subject should sit right of centre — mobile crops to 72% across | Currently 640px wide, drawn at 1440px — needs ~2880px for retina",Low resolution,"HIGHEST PRIORITY: supply the full-size original, 1920px wide or more"
3,Delegates,Side label,Label,Both,Delegates,One or two words,Review,"Nav calls this block ""Leaders"" — align the wording if you prefer"
3,Delegates,Heading,Heading,Both,The leaders in the room,Max ~30 characters,Live,
3,Delegates,Intro,Body,Both,"Meet the CEOs, founders, and strategy leaders shaping the scene in Egypt.","1 sentence, max ~90 characters",Live,
3,Delegates,Card 1 — role,Label,Both,Managing Director,1-3 words,Live,
3,Delegates,Card 1 — name,Text,Both,Ahmed Badr,"Full name, sets in uppercase",Live,
3,Delegates,Card 1 — company,Text,Both,AB & Associates Middle East,Max ~35 characters,Live,
3,Delegates,Card 2 — role,Label,Both,Managing Director,1-3 words,Live,
3,Delegates,Card 2 — name,Text,Both,Islam Saadany,"Full name, sets in uppercase",Live,
3,Delegates,Card 2 — company,Text,Both,Forefront Consulting,Max ~35 characters,Live,
3,Delegates,Card 3 — role,Label,Both,Chairman,1-3 words,Live,
3,Delegates,Card 3 — name,Text,Both,Ahmed Sherien Korayem,"Full name, sets in uppercase",Live,
3,Delegates,Card 3 — company,Text,Both,Sugar Delta,Max ~35 characters,Live,
3,Delegates,Card 4 — role,Label,Both,CEO,1-3 words,Live,
3,Delegates,Card 4 — name,Text,Both,Ahmed Bayoumi,"Full name, sets in uppercase",Live,
3,Delegates,Card 4 — company,Text,Both,Wadi Group — Industrial Section,Max ~35 characters,Live,
3,Delegates,Card 1 portrait (Ahmed Badr),Image,Both,assets/cutout-badr.png (not in repo),"Cut-out portrait on transparent ground, 3:4",MISSING — supply file,Supply cut-out at 600x800 or larger
3,Delegates,Card 2-4 portraits,Image,Both,none — no file referenced,"Cut-out portraits on transparent ground, 3:4, 600x800+",MISSING — supply files,Cards render as flat wells until supplied. Name them cutout-<surname>.png
3,Delegates,More delegates,Structure,Both,4 cards,The rail scrolls and the dots follow the count automatically,Ready to extend,"Send extra names, roles, companies and portraits in the same format"
4,About,Side label,Label,Both,About,One word,Live,
