Block,Field / collection,CMS field type,Repeatable,Required,Limit / validation,Renders on,Notes for the CMS build
Global settings,Site / SEO title,Single-line text,—,Yes,~60 chars,Both,"Currently hardcoded and STALE: it still reads ""Step Away. Think Strategically."" though the hero now says ""The Strategy Retreat"". Decide which is the marketing title"
Global settings,Meta description,Single-line text,—,Yes,~155 chars,Both,
Global settings,Social share image,Media (image),—,Yes,1200x630,Both,Currently reuses the hero photo; give it a purpose-built crop
Global settings,Brand mark (light-on-dark),Media (image),—,Yes,Transparent PNG/SVG,Both,Used in the nav at 32-34px. REPLACE the current file first — it was rebuilt from a screenshot
Global settings,Brand lockup (dark-on-light),Media (image),—,Yes,Transparent PNG/SVG,Both,"Footer, 44-52px tall. Same caveat"
Global settings,Brochure PDF,Media (document),—,Yes,—,Both,"Nav ""Download PDF"" is wired and 404s until this exists"
Global settings,Primary nav links,Repeater: label + target,Yes (3),Yes,1-2 words,Desktop,Anchors to blocks on this page
Global settings,Register CTA label / URL,Text + link,—,Yes,1 word,Both,"Appears in 3 places: nav, floating tab, closing band. Model once, reuse"
Global settings,"Design tokens (colour, type, spacing)",—,—,—,—,—,DO NOT expose in the CMS. Keep in tokens.css. Editors changing brand colour per page will break contrast
Hero,Eyebrow,Single-line text,—,Yes,~40 chars,Both,
Hero,Headline,Single-line text,—,Yes,2-3 words,Both,"Breaks to 3 lines on mobile, 1 on desktop. Model as plain text and let CSS break it, or the editor must control breaks"
Hero,Date,Single-line text,—,Yes,—,Both,"En dash, not hyphen"
Hero,Location,Single-line text,—,Yes,—,Both,
Hero,Marquee word,Single-line text,—,No,1 word,Both,Decorative; repeats along the bottom edge
Hero,Background image,Media (image),—,Yes,">=1920px wide, focal point right of centre",Both,Needs a focal-point control: mobile crops to 72% across
Delegates,Section label / heading / intro,Text x3,—,Yes,"Label 1-2 words, heading ~30, intro ~90",Both,
Delegates,Delegate,REPEATER (4 now),Yes,Yes,—,Both,"Fields: name, role, company, portrait. Rail and dots follow the count automatically"
Delegates,— Portrait,Media (image),In repeater,No,"Cut-out on transparent, 3:4, 600x800+",Both,3 of 4 are missing today; cards degrade to flat wells
About,Sub-section,REPEATER (2),Yes,Yes,Heading ~55 chars,Both,"Fields: heading, body, photo. Body length drives the photo height on desktop"
About,Stat,REPEATER (3),Yes,Yes,Value short,Both,"Fields: value, label"
Knowledge Pillars,Section label / heading,Text x2,—,Yes,~55 chars,Both,
Knowledge Pillars,Outcome bullet,REPEATER (5),Yes,No,~85 chars,DESKTOP ONLY,Warn editors in the field help: this copy never appears on mobile
